监测点编码,监测点名称,城市,经度,纬度,省份
2877A,坊子邮政,潍坊,119.1638,36.6525,山东
2878A,聊大东校,聊城,116.0072,36.4343,山东
2880A,大石西路,成都,104.0238889,30.65638889,四川
2881A,凯里学院,黔东南州,107.8908333,26.53111111,贵州
2882A,玉溪一中,玉溪,102.5389,24.3702,云南
2883A,文体中心,玉溪,102.5381,24.339,云南
2884A,酒钢宾馆,嘉峪关,98.26722222,39.79777778,甘肃
2885A,滨江中学,陇南,104.9338889,33.38256667,甘肃
2897A,沈辽西路,沈阳,123.2444,41.7347,辽宁
2900A,裕农路,沈阳,123.5953,41.9086,辽宁
2902A,北辰小学,广安,106.6351,30.4865,四川
2907A,吴兴区站,湖州,120.1844,30.8596,浙江
2914A,苏山坪,巴中,106.7513889,31.87888889,四川
2915A,职业中学,巴中,106.7619444,31.85805556,四川
2916A,老干部局(停运190815),池州,117.49,30.66,安徽
2919A,河北工业大学,廊坊,116.7022,39.5453,河北
2920A,蓝田镇(启用160601),漳州,117.7116,24.5060,福建
2921A,树下王站,绍兴,120.7789,30.0033,浙江
2922A,大理道(启用160601),天津,117.1941,39.1067,天津
2923A,供排水公司(停运160601),大同,113.2803,40.1114,山西
2924A,水乡路(直管站),银川,106.2275,38.44139,宁夏
2925A,上海东路,银川,106.2739,38.4841,宁夏
2926A,文昌北街,银川,106.1024,38.49494,宁夏
2929A,红卫路,黄冈,114.8858,30.4519,湖北
2994A,武警支队,金华,119.6533,29.1128,浙江
2996A,市供电局(启用161107),宿迁,118.2830,33.9650,江苏
2997A,王营,泰州,119.8767,32.3292,江苏
2998A,胡沟管理处,连云港,119.3608,34.7519,江苏
2999A,矿山设计院,连云港,119.1478,34.5911,江苏
3000A,德源药业(直管站),连云港,119.3581,34.6972,江苏
3002A,行政中心(启用161026),常州,119.9736,31.8108,江苏
3003A,经开区(启用161026),常州,120.0469,31.7694,江苏
3004A,宝龙广场,盐城,120.1631,33.3681,江苏
3005A,鼓楼区政府,徐州,117.1814,34.29,江苏
3006A,铜山区招生办,徐州,117.1694,34.1781,江苏
3008A,胡沟管理处,连云港,119.3608,34.7519,江苏
3009A,矿山设计院,连云港,119.1478,34.5911,江苏
3010A,钟楼(启用161026),常州,119.8914,31.7897,江苏
3012A,西山林语,荆门,112.1908,31.03389,湖北
3014A,歇台子(启用161118),重庆,106.4959,29.53675,重庆
3015A,龙井湾(启用161118),重庆,106.4042,29.57278,重庆
3016A,龙洲湾(启用161119),重庆,106.5506,29.41569,重庆
3018A,唐尧大酒店(启用161122),临汾,111.505,36.10139,山西
3019A,西沙,三沙,-,-,海南
3020A,中山北路(启用161122),天津,117.2099,39.16969,天津
3021A,濮水河管理处,濮阳,115.0061,35.76806,河南
3022A,凯旋路小学,洛阳,112.4433,34.6686,河南
3025A,技师学院,清远,113.0472,23.63444,广东
3026A,市政府,潮州,116.6183,23.65889,广东
3027A,青杠林路,自贡,104.7228,29.33972,四川
3028A,檀木林体育馆,自贡,104.7778,29.36028,四川
3033A,培训基地,乌鲁木齐,87.4651,43.4569,新疆
3034A,光明街小学,乌兰察布,113.1076,41.0385,内蒙古
3035A,北滨河,兴安盟,122.0931,46.0707,内蒙古
3036A,开发区管委会,东营,118.696,37.43445,山东
3038A,州图书馆,红河州,103.3758,23.3682,云南
3039A,第一小学,三门峡,111.19,34.7822,河南
3045A,商州区中学,商洛,109.9643,33.8471,陕西
3046A,机电学校,南昌,115.9083,28.6064,江西
3048A,九龙,福州,119.5800,26.0931,福建
3051A,西四道(启用170426),天津,117.3916,39.1495,天津
3054A,市委党校,新乡,113.5922,35.28385,河南
3055A,城北区政府,西宁,101.7775,36.6428,青海
3057A,牟平检察院(启用170519),烟台,121.5992,37.4014,山东
3058A,银河街,赤峰,119.2654,42.0352,内蒙古
3059A,泰兴公司,济南,117.7181,36.2092,山东
3061A,国华电力东,呼伦贝尔,119.7512,49.1577,内蒙古
3064A,莱芜战役纪念馆,济南,117.6983,36.2211,山东
3065A,州环保局,甘孜州,101.9533,29.9972,四川
3066A,九衢泉纯净水厂,德州,116.2714,37.4372,山东
3122A,伍家关(对照点),安顺,105.9606,26.2611,贵州
3123A,凤凰山,安顺,105.9408,26.2431,贵州
3124A,金钟山,安顺,105.9439,26.2564,贵州
3125A,娄家坡,安顺,105.8983,26.2481,贵州
3128A,那曲会议中心,那曲地区,92.0506,31.4797,西藏
3129A,平安高铁新区,海东地区,102.0306,36.5067,青海
3131A,烟厂,张家口,114.8792,40.7903,河北
3132A,文明里(启用171012),秦皇岛,119.5966,39.9380,河北
3133A,上清寺(启用170928),重庆,106.5469,29.565,重庆
3134A,市一中,许昌,113.8172,34.0339,河南
3136A,龙泉驿区区政府,成都,104.2725,30.5589,四川
3137A,市委党校,眉山,103.8578,30.0744,四川
3138A,武陵区永安(启用171130),常德,111.7153,29.0289,湖南
3139A,鼎城区玉霞(启用171130),常德,111.6892,28.9881,湖南
3140A,武陵区长庚,常德,111.6625,29.0531,湖南
3141A,信访局,安阳,114.3922,36.0878,河南
3147A,龙亭公园(启用180109),开封,114.3442,34.8097,河南
3148A,区人社局,眉山,103.8286,30.0561,四川
3149A,笔架山北路,黄石,115.0158,30.1594,湖北
3151A,宜春学院北校区（181229启用）,宜春,114.375,27.8097,江西
3153A,民族大道182号,武汉,114.3877,30.4908,湖北
3164A,广陵建设局(启用180626),扬州,119.4686,32.3942,江苏
3165A,两寺渡,咸阳,108.6594,34.2969,陕西
3169A,太极体育中心,焦作,113.2725,35.2067,河南
3170A,市委党校(启用180727),金昌,102.1864,38.5253,甘肃
3171A,梁园区档案局(20190220启用),商丘,115.6125,34.445,河南
3173A,市人大(启用180816),安庆,117.0594,30.5342,安徽
3178A,潍坊七中,潍坊,119.0586,36.7225,山东
3179A,官渡区博物馆（180930启用）,昆明,102.749,25.0119,云南
3180A,质量技术监督局（20180930启用）,迪庆州,99.7136,27.8094,云南
3182A,丽阳花园,巴中,106.7658,31.8542,四川
3183A,圣泉水务公司,巴中,106.7417,31.8653,四川
3184A,市委党校,哈尔滨,126.6203,45.7219,黑龙江
3185A,巨轮,太原,112.5628,37.8964,山西
3186A,教育港（20181115启用）,兰州,103.7583,36.1058,甘肃
3187A,远航博物馆(181204启用),宿州,116.9510,33.6660,安徽
3188A,市城管局(181124启用),衡水,115.6689,37.739,河北
3190A,外国语学校（20181128启用）,九江,116.0257,29.6995,江西
3191A,宿豫区政府(181206启用),宿迁,118.3225,33.9447,江苏
3194A,管委会(启用181220),荆州,112.2747,30.3122,湖北
3195A,市体育局（181219启用）,扬州,119.3633,32.3972,江苏
3200A,监控中心(20190222启用),聊城,115.9819,36.4978,山东
3201A,东关招商场(190211启用),武威,102.6486,37.9325,甘肃
3204A,规划局(20190304启用),平顶山,113.3025,33.7297,河南
3206A,新钢沁园村(20190301启用),新余,114.9149,27.8070,江西
3207A,市政府原办公楼(190307启用),滁州,118.3117,32.3039,安徽
3207A,市政府原办公楼(20190308启用),滁州,118.3117,32.3039,安徽
3208A,市政府(20190313启用),忻州,112.7283,38.4153,山西
3209A,宁德一中(20190319启用),宁德,119.5228,26.6564,福建
3210A,汴京公园(20190322启用),开封,114.3644,34.7964,河南
3216A,漳州党校(20190503启用),漳州,114.6622,24.5183,福建
3237A,展览馆(190815启用),池州,117.4916,30.6619,安徽
3238A,济民医院(对照点190815启用),芜湖,118.3954,31.3946,安徽
3239A,银鹰制药(20190903启用),辽源,125.0829,42.9079,吉林
3662A,富区青少年活动中心(启用191231),齐齐哈尔,123.6333,47.2075,黑龙江
3663A,红旗社区(启用191231),大兴安岭地区,124.1175,50.4278,黑龙江
